time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.001960343544975041e-02
5.000000000000000278e-02,0.000000000000000000e+00,-1.200392068708971971e-02,-4.198340756521337647e-02
1.000000000000000056e-01,-6.001960343544846411e-04,-1.992044537264895526e-02,-3.705185774202240934e-02
1.500000000000000222e-01,-1.596218302986920868e-03,-2.594520683158013305e-02,-4.078639326258071129e-02
2.000000000000000111e-01,-2.893478644475514731e-03,-3.149878772072809557e-02,-5.070506619947108551e-02
2.500000000000000000e-01,-4.468418030413184167e-03,-3.754135086225677403e-02,-6.563532780921886578e-02
3.000000000000000444e-01,-6.345485573700545938e-03,-4.478325888896531742e-02,-8.529242960467198209e-02
3.500000000000000333e-01,-8.584648518011831625e-03,-5.382553488091785382e-02,-1.100216040368589970e-01
4.000000000000000222e-01,-1.127592526222198112e-02,-6.525539753528052100e-02,-1.406570074039946161e-01
4.500000000000000111e-01,-1.453869513898600752e-02,-7.971513483950970480e-02,-1.784436241666578771e-01
5.000000000000000000e-01,-1.852445188096148859e-02,-9.795329679344590146e-02,-2.249455907158603163e-01
5.500000000000000444e-01,-2.342211672063378505e-02,-1.208528350821325009e-01,-2.820812404255787498e-01
6.000000000000000888e-01,-2.946475847474041773e-02,-1.494599740579649616e-01,-3.527812385686807661e-01
6.500000000000000222e-01,-3.693775717763866928e-02,-1.851370769711666309e-01,-4.397238593753097224e-01
7.000000000000000666e-01,-4.619461102619700638e-02,-2.294486654539652226e-01,-5.464337645386607711e-01
7.500000000000000000e-01,-5.766704429889528416e-02,-2.842566738853882780e-01,-6.774822253275978312e-01
8.000000000000000444e-01,-7.187987799316471194e-02,-3.518428308929612558e-01,-8.366744044238412226e-01
8.500000000000000888e-01,-8.947201953781278028e-02,-4.346505436602156047e-01,-1.030232886647370893e+00
9.000000000000000222e-01,-1.112045467208235688e-01,-5.356561072966063985e-01,-1.262090579648018629e+00
9.500000000000000666e-01,-1.379873520856539360e-01,-6.577810257305392039e-01,-1.536119025386622150e+00
1.000000000000000000e+00,-1.708764033721808517e-01,-8.037571602418396299e-01,-1.854687973004830459e+00
1.050000000000000044e+00,-2.110642613842728665e-01,-9.757292896230382873e-01,-2.214241616563031645e+00
1.100000000000000089e+00,-2.598507258654247920e-01,-1.174028291790144340e+00,-2.602109366093827703e+00
1.150000000000000133e+00,-3.185521404549320201e-01,-1.395434530858167488e+00,-2.991944823311392110e+00
1.200000000000000178e+00,-3.883238669978404389e-01,-1.630764888004452295e+00,-3.000000000000000000e+00
1.250000000000000000e+00,-4.698621113980631647e-01,-1.794090795901454705e+00,-3.000000000000000000e+00
1.300000000000000044e+00,-5.595666511931358666e-01,-1.878166323630845680e+00,-2.884167641311708774e+00
1.350000000000000089e+00,-6.534749673746783616e-01,-1.859139768706836948e+00,-1.593465451888021800e+00
1.400000000000000133e+00,-7.464319558100201979e-01,-1.507069189968822664e+00,1.217546082655078354e+00
1.450000000000000178e+00,-8.217854153084613866e-01,-5.371549282123612157e-01,3.000000000000000000e+00
1.500000000000000000e+00,-8.486431617190796084e-01,8.027790893203864409e-01,3.000000000000000000e+00
1.550000000000000044e+00,-8.085042072530601587e-01,2.106794849007338488e+00,3.000000000000000000e+00
1.600000000000000089e+00,-7.031644648026932343e-01,3.332036227574968645e+00,3.000000000000000000e+00
1.650000000000000133e+00,-5.365626534239446022e-01,4.433103491814363473e+00,3.000000000000000000e+00
1.700000000000000178e+00,-3.149074788332262287e-01,5.357251560863766748e+00,3.000000000000000000e+00
1.750000000000000000e+00,-4.704490079003767478e-02,6.046805158222646526e+00,3.000000000000000000e+00
1.800000000000000044e+00,2.552953571210949124e-01,6.451066977731628072e+00,3.000000000000000000e+00
1.850000000000000089e+00,5.778487060076766824e-01,6.545291187410782641e+00,3.000000000000000000e+00
1.900000000000000133e+00,9.051132653782161253e-01,6.347634587171877563e+00,3.000000000000000000e+00
1.950000000000000178e+00,1.222494994736810447e+00,5.922177497951180314e+00,3.000000000000000000e+00
2.000000000000000000e+00,1.518603869634368220e+00,5.363195693385439888e+00,3.000000000000000000e+00
2.050000000000000266e+00,1.786763654303639370e+00,4.769003709738418806e+00,3.000000000000000000e+00
2.100000000000000089e+00,2.025213839790559689e+00,4.220032622408404599e+00,3.000000000000000000e+00
2.149999999999999911e+00,2.236215470910978720e+00,3.769786280775361043e+00,3.000000000000000000e+00
2.200000000000000178e+00,2.424704784949746283e+00,3.447283253670220482e+00,3.000000000000000000e+00
2.250000000000000000e+00,2.597068947633256464e+00,3.264833952642017145e+00,3.000000000000000000e+00
2.300000000000000266e+00,2.760310645265357188e+00,3.226072058899635664e+00,-2.040085531171109690e+00
2.350000000000000089e+00,2.921614248210337994e+00,2.323971453921310548e+00,-3.000000000000000000e+00
2.400000000000000355e+00,3.037812820906403033e+00,1.416950009298584945e+00,-3.000000000000000000e+00
2.450000000000000178e+00,3.108660321371332191e+00,6.586466443692199357e-01,-3.000000000000000000e+00
2.500000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,-3.000000000000000000e+00
